"player_id","web_name","first_name","second_name","id","kickoff_time","kickoff_time_formatted","team_h_score","team_a_score","was_home","round","total_points","value","transfers_balance","selected","transfers_in","transfers_out","loaned_in","loaned_out","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","ea_index","open_play_crosses","big_chances_created","clearances_blocks_interceptions","recoveries","key_passes","tackles","winning_goals","attempted_passes","completed_passes","penalties_conceded","big_chances_missed","errors_leading_to_goal","errors_leading_to_goal_attempt","tackled","offside","target_missed","fouls","dribbles","element","fixture","opponent_team"
50,"Bruno","Bruno","Saltor Grau",16266,"2019-03-09T12:30:00Z","09 Mar 12:30",1,2,FALSE,30,0,44,-399,19276,18,417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,294,7
51,"Bong","Gaëtan","Bong",16267,"2019-03-09T12:30:00Z","09 Mar 12:30",1,2,FALSE,30,0,44,-289,9126,42,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,294,7
52,"Suttner","Markus","Suttner",16268,"2019-03-09T12:30:00Z","09 Mar 12:30",1,2,FALSE,30,0,38,-3762,265422,255,4017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,294,7
53,"Schelotto","Ezequiel","Schelotto",16269,"2019-03-09T12:30:00Z","09 Mar 12:30",1,2,FALSE,30,0,38,-1864,109585,220,2084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,294,7
54,"Balogun","Leon","Balogun",16270,"2019-03-09T12:30:00Z","09 Mar 12:30",1,2,FALSE,30,0,42,-170,6439,20,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,294,7
55,"Knockaert","Anthony","Knockaert",16271,"2019-03-09T12:30:00Z","09 Mar 12:30",1,2,FALSE,30,7,52,525,29061,1142,617,0,0,74,1,0,0,1,0,0,0,1,0,0,1,29,"36.0","6.6","9.0","5.2",0,1,0,1,8,0,1,1,31,24,0,0,0,0,1,0,0,2,1,55,294,7
56,"Stephens","Dale","Stephens",16272,"2019-03-09T12:30:00Z","09 Mar 12:30",1,2,FALSE,30,7,43,-612,187610,1049,1661,0,0,90,0,1,0,1,0,0,0,0,0,0,2,33,"47.8","21.8","0.0","7.0",0,0,0,9,7,2,3,0,46,39,0,0,0,0,0,0,0,0,0,56,294,7
57,"Kayal","Beram","Kayal",16273,"2019-03-09T12:30:00Z","09 Mar 12:30",1,2,FALSE,30,0,44,-554,21752,37,591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,294,7
58,"March","Solomon","March",16274,"2019-03-09T12:30:00Z","09 Mar 12:30",1,2,FALSE,30,1,48,-4454,54771,901,5355,0,0,15,0,0,0,0,0,0,0,0,0,0,0,5,"2.2","1.1","4.0","0.7",0,0,0,0,4,0,1,0,8,6,0,0,0,0,1,0,0,0,0,58,294,7
59,"Groß","Pascal","Groß",16275,"2019-03-09T12:30:00Z","09 Mar 12:30",1,2,FALSE,30,0,67,-5177,94036,25,5202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,294,7
60,"Pröpper","Davy","Pröpper",16276,"2019-03-09T12:30:00Z","09 Mar 12:30",1,2,FALSE,30,2,48,417,13781,1801,1384,0,0,90,0,0,0,1,0,0,0,0,0,0,0,6,"5.6","11.3","0.0","1.7",0,0,0,4,9,1,1,0,37,20,1,0,0,0,5,0,0,2,2,60,294,7
61,"Izquierdo","José Heriberto","Izquierdo Mena",16277,"2019-03-09T12:30:00Z","09 Mar 12:30",1,2,FALSE,30,0,59,-5,5089,36,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,294,7
62,"Murray","Glenn","Murray",16278,"2019-03-09T12:30:00Z","09 Mar 12:30",1,2,FALSE,30,5,63,-26663,158510,1960,28623,0,0,90,1,0,0,1,0,0,0,1,0,0,0,19,"31.2","4.1","19.0","5.4",0,0,0,2,4,0,1,0,25,16,0,0,0,0,5,1,0,6,0,62,294,7
63,"Hemed","Tomer","Hemed",16279,"2019-03-09T12:30:00Z","09 Mar 12:30",1,2,FALSE,30,0,49,-10,4069,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,294,7
64,"Baldock","Sam","Baldock",16280,"2019-03-09T12:30:00Z","09 Mar 12:30",1,2,FALSE,30,0,45,-35,19055,11,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,294,7
65,"Locadia","Jürgen","Locadia",16281,"2019-03-09T12:30:00Z","09 Mar 12:30",1,2,FALSE,30,1,53,-2076,22135,382,2458,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,294,7
66,"Andone","Florin","Andone",16282,"2019-03-09T12:30:00Z","09 Mar 12:30",1,2,FALSE,30,0,50,1307,12875,1919,612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,294,7
67,"Heaton","Tom","Heaton",16848,"2019-03-16T15:00:00Z","16 Mar 15:00",1,2,TRUE,31,1,48,2452,53915,3501,1049,0,0,90,0,0,0,2,0,0,0,0,0,2,0,11,"14.0","0.0","4.0","1.8",0,0,0,0,8,0,0,0,23,20,0,0,0,0,0,0,1,0,0,67,303,11
68,"Pope","Nick","Pope",16849,"2019-03-16T15:00:00Z","16 Mar 15:00",1,2,TRUE,31,0,48,5,10683,53,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,303,11
69,"Lowton","Matthew","Lowton",16850,"2019-03-16T15:00:00Z","16 Mar 15:00",1,2,TRUE,31,0,46,20,13891,101,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,303,11
70,"Mee","Ben","Mee",16851,"2019-03-16T15:00:00Z","16 Mar 15:00",1,2,TRUE,31,1,46,2185,116939,3341,1156,0,0,90,0,0,0,2,0,0,0,0,0,0,0,17,"28.2","1.3","2.0","3.2",0,0,0,7,9,0,1,0,59,48,0,0,0,0,1,0,0,0,0,70,303,11
