"","id","photo","web_name","team_code","status","code","first_name","second_name","squad_number","news","now_cost","news_added","chance_of_playing_this_round","chance_of_playing_next_round","value_form","value_season","cost_change_start","cost_change_event","cost_change_start_fall","cost_change_event_fall","in_dreamteam","dreamteam_count","selected_by_percent","form","transfers_out","transfers_in","transfers_out_event","transfers_in_event","loans_in","loans_out","loaned_in","loaned_out","total_points","event_points","points_per_game","ep_this","ep_next","special","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","ea_index","element_type","team"
"47",473,"171129.jpg","Rico",91,"s",171129,"Diego","Rico",21,"Suspended until 01 Sep",45,"2018-08-01T10:01:10Z",0,0,"0.0","0.0",0,0,0,0,FALSE,0,"0.0","0.0",113,11,113,11,0,0,0,0,0,0,"0.0","0.0","0.0",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"DEF","BOU"
"48",494,"152551.jpg","Lerma",91,"d",152551,"Jefferson","Lerma",8,"Lack of match fitness - 75% chance of playing",45,"2018-08-10T09:31:13Z",0,75,"0.0","0.0",0,0,0,0,FALSE,0,"0.3","0.0",1040,255,1040,255,0,0,0,0,0,0,"0.0","0.0","1.0",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"MID","BOU"
"49",47,"131897.jpg","Ryan",36,"a",131897,"Mathew","Ryan",1,"",45,NA,NA,NA,"0.4","0.4",0,0,0,0,FALSE,0,"5.3","2.0",4995,658,4995,658,0,0,0,0,2,2,"2.0","2.0","1.0",FALSE,90,0,0,0,2,0,0,0,0,0,3,0,15,"22.8","0.0","0.0","2.3",0,"GKP","BHA"
"50",48,"83299.jpg","Dunk",36,"a",83299,"Lewis","Dunk",5,"",45,NA,NA,NA,"0.2","0.2",0,0,0,0,FALSE,0,"3.1","1.0",4986,719,4986,719,0,0,0,0,1,1,"1.0","1.7","0.7",FALSE,90,0,0,0,2,0,0,0,0,0,0,0,14,"15.0","0.3","0.0","1.5",0,"DEF","BHA"
"51",49,"61933.jpg","Duffy",36,"a",61933,"Shane","Duffy",4,"",45,"2018-07-05T14:31:07Z",100,100,"0.2","0.2",0,0,0,0,FALSE,0,"3.1","1.0",5377,407,5377,407,0,0,0,0,1,1,"1.0","1.7","0.7",FALSE,90,0,0,0,2,0,0,0,0,0,0,0,16,"27.0","0.0","0.0","2.7",0,"DEF","BHA"
"52",50,"11352.jpg","Bruno",36,"d",11352,"Bruno","Saltor Grau",2,"Hamstring injury - 75% chance of playing",45,"2018-08-11T14:31:12Z",NA,75,"0.2","0.2",0,0,0,0,FALSE,0,"0.3","1.0",1153,73,1153,73,0,0,0,0,1,1,"1.0","1.7","0.5",FALSE,25,0,0,0,0,0,0,0,0,0,0,0,6,"6.4","14.6","0.0","2.1",0,"DEF","BHA"
"53",51,"42748.jpg","Bong",36,"a",42748,"Gaëtan","Bong",3,"",45,NA,NA,NA,"0.2","0.2",0,0,0,0,FALSE,0,"0.2","1.0",217,60,217,60,0,0,0,0,1,1,"1.0","1.7","0.7",FALSE,64,0,0,0,2,0,0,0,0,0,0,0,10,"6.2","0.6","0.0","0.7",0,"DEF","BHA"
"54",52,"43808.jpg","Suttner",36,"a",43808,"Markus","Suttner",29,"",40,NA,NA,NA,"0.0","0.0",0,0,0,0,FALSE,0,"8.5","0.0",16445,2641,16445,2641,0,0,0,0,0,0,"0.0","1.2","0.2",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"DEF","BHA"
"55",53,"74375.jpg","Schelotto",36,"a",74375,"Ezequiel","Schelotto",21,"",40,NA,NA,NA,"0.0","0.0",0,0,0,0,FALSE,0,"2.5","0.0",5048,1074,5048,1074,0,0,0,0,0,0,"0.0","1.2","0.2",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"DEF","BHA"
"56",54,"52484.jpg","Balogun",36,"a",52484,"Leon","Balogun",14,"",45,NA,NA,NA,"0.0","0.0",0,0,0,0,FALSE,0,"0.2","0.0",576,63,576,63,0,0,0,0,0,0,"0.0","1.7","0.7",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"DEF","BHA"
"57",55,"83543.jpg","Knockaert",36,"a",83543,"Anthony","Knockaert",11,"",55,NA,NA,NA,"0.4","0.4",0,0,0,0,FALSE,0,"0.5","2.0",1166,182,1166,182,0,0,0,0,2,2,"2.0","1.7","0.7",FALSE,90,0,0,0,2,0,0,0,0,0,0,0,4,"9.4","4.4","22.0","3.6",0,"MID","BHA"
"58",56,"40845.jpg","Stephens",36,"a",40845,"Dale","Stephens",6,"",45,NA,NA,NA,"0.2","0.2",0,0,0,0,FALSE,0,"11.1","1.0",19937,2494,19937,2494,0,0,0,0,1,1,"1.0","1.3","0.3",FALSE,90,0,0,0,2,0,0,0,1,0,0,0,14,"21.8","11.8","4.0","3.8",0,"MID","BHA"
"59",57,"38490.jpg","Kayal",36,"a",38490,"Beram","Kayal",7,"",45,NA,NA,NA,"0.0","0.0",0,0,0,0,FALSE,0,"0.1","0.0",271,77,271,77,0,0,0,0,0,0,"0.0","1.3","0.3",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"MID","BHA"
"60",58,"109345.jpg","March",36,"a",109345,"Solomon","March",20,"",50,NA,NA,NA,"0.4","0.4",0,0,0,0,FALSE,0,"0.1","2.0",174,45,174,45,0,0,0,0,2,2,"2.0","1.5","0.5",FALSE,70,0,0,0,2,0,0,0,0,0,0,0,6,"3.2","14.3","2.0","2.0",0,"MID","BHA"
"61",59,"60307.jpg","Groß",36,"a",60307,"Pascal","Groß",13,"",70,NA,NA,NA,"0.1","0.1",0,0,0,0,FALSE,0,"7.0","1.0",28263,596,28263,596,0,0,0,0,1,1,"1.0","2.4","1.4",FALSE,59,0,0,0,2,0,0,0,0,0,0,0,6,"8.6","20.3","4.0","3.3",0,"MID","BHA"
"62",60,"66242.jpg","Pröpper",36,"a",66242,"Davy","Pröpper",24,"",50,NA,NA,NA,"0.4","0.4",0,0,0,0,FALSE,0,"0.2","2.0",415,60,415,60,0,0,0,0,2,2,"2.0","1.5","0.5",FALSE,90,0,0,0,2,0,0,0,0,0,0,0,9,"12.0","1.5","9.0","2.3",0,"MID","BHA"
"63",61,"167473.jpg","Izquierdo",36,"i",167473,"José Heriberto","Izquierdo Mena",19,"Knock - Expected back 19 Aug",60,"2018-08-08T14:31:10Z",0,0,"0.0","0.0",0,0,0,0,FALSE,0,"0.2","0.0",1416,28,1416,28,0,0,0,0,0,0,"0.0","0.0","0.0",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"MID","BHA"
