"player_id","web_name","first_name","second_name","id","kickoff_time_formatted","event_name","opponent_name","opponent_short_name","is_home","difficulty","code","kickoff_time","team_h_score","team_a_score","finished","minutes","provisional_start_time","finished_provisional","event","team_a","team_h"
97,"Halford","Greg","Halford",33,"02 Sep 13:30","Gameweek 4","Arsenal","ARS",TRUE,4,987624,"2018-09-02T12:30:00Z",NA,NA,FALSE,0,FALSE,FALSE,4,1,5
98,"Ralls","Joe","Ralls",33,"02 Sep 13:30","Gameweek 4","Arsenal","ARS",TRUE,4,987624,"2018-09-02T12:30:00Z",NA,NA,FALSE,0,FALSE,FALSE,4,1,5
99,"Hoilett","David Junior","Hoilett",33,"02 Sep 13:30","Gameweek 4","Arsenal","ARS",TRUE,4,987624,"2018-09-02T12:30:00Z",NA,NA,FALSE,0,FALSE,FALSE,4,1,5
100,"Mendez-Laing","Nathaniel","Mendez-Laing",33,"02 Sep 13:30","Gameweek 4","Arsenal","ARS",TRUE,4,987624,"2018-09-02T12:30:00Z",NA,NA,FALSE,0,FALSE,FALSE,4,1,5
101,"Paterson","Callum","Paterson",33,"02 Sep 13:30","Gameweek 4","Arsenal","ARS",TRUE,4,987624,"2018-09-02T12:30:00Z",NA,NA,FALSE,0,FALSE,FALSE,4,1,5
102,"Gunnarsson","Aron","Gunnarsson",33,"02 Sep 13:30","Gameweek 4","Arsenal","ARS",TRUE,4,987624,"2018-09-02T12:30:00Z",NA,NA,FALSE,0,FALSE,FALSE,4,1,5
103,"Pilkington","Anthony","Pilkington",33,"02 Sep 13:30","Gameweek 4","Arsenal","ARS",TRUE,4,987624,"2018-09-02T12:30:00Z",NA,NA,FALSE,0,FALSE,FALSE,4,1,5
104,"Damour","Loïc","Damour",33,"02 Sep 13:30","Gameweek 4","Arsenal","ARS",TRUE,4,987624,"2018-09-02T12:30:00Z",NA,NA,FALSE,0,FALSE,FALSE,4,1,5
105,"Ward","Danny","Ward",33,"02 Sep 13:30","Gameweek 4","Arsenal","ARS",TRUE,4,987624,"2018-09-02T12:30:00Z",NA,NA,FALSE,0,FALSE,FALSE,4,1,5
106,"Murphy","Josh","Murphy",33,"02 Sep 13:30","Gameweek 4","Arsenal","ARS",TRUE,4,987624,"2018-09-02T12:30:00Z",NA,NA,FALSE,0,FALSE,FALSE,4,1,5
107,"Zohore","Kenneth","Zohore",33,"02 Sep 13:30","Gameweek 4","Arsenal","ARS",TRUE,4,987624,"2018-09-02T12:30:00Z",NA,NA,FALSE,0,FALSE,FALSE,4,1,5
108,"Bogle","Omar","Bogle",33,"02 Sep 13:30","Gameweek 4","Arsenal","ARS",TRUE,4,987624,"2018-09-02T12:30:00Z",NA,NA,FALSE,0,FALSE,FALSE,4,1,5
109,"Madine","Gary","Madine",33,"02 Sep 13:30","Gameweek 4","Arsenal","ARS",TRUE,4,987624,"2018-09-02T12:30:00Z",NA,NA,FALSE,0,FALSE,FALSE,4,1,5
110,"Reid","Bobby","Reid",33,"02 Sep 13:30","Gameweek 4","Arsenal","ARS",TRUE,4,987624,"2018-09-02T12:30:00Z",NA,NA,FALSE,0,FALSE,FALSE,4,1,5
111,"Courtois","Thibaut","Courtois",34,"01 Sep 15:00","Gameweek 4","Bournemouth","BOU",TRUE,3,987625,"2018-09-01T14:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,4,2,6
112,"Caballero","Willy","Caballero",34,"01 Sep 15:00","Gameweek 4","Bournemouth","BOU",TRUE,3,987625,"2018-09-01T14:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,4,2,6
113,"Azpilicueta","César","Azpilicueta",34,"01 Sep 15:00","Gameweek 4","Bournemouth","BOU",TRUE,3,987625,"2018-09-01T14:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,4,2,6
114,"Cahill","Gary","Cahill",34,"01 Sep 15:00","Gameweek 4","Bournemouth","BOU",TRUE,3,987625,"2018-09-01T14:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,4,2,6
115,"Alonso","Marcos","Alonso",34,"01 Sep 15:00","Gameweek 4","Bournemouth","BOU",TRUE,3,987625,"2018-09-01T14:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,4,2,6
116,"David Luiz","David","Luiz Moreira Marinho",34,"01 Sep 15:00","Gameweek 4","Bournemouth","BOU",TRUE,3,987625,"2018-09-01T14:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,4,2,6
117,"Moses","Victor","Moses",34,"01 Sep 15:00","Gameweek 4","Bournemouth","BOU",TRUE,3,987625,"2018-09-01T14:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,4,2,6
118,"Rüdiger","Antonio","Rüdiger",34,"01 Sep 15:00","Gameweek 4","Bournemouth","BOU",TRUE,3,987625,"2018-09-01T14:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,4,2,6
119,"Christensen","Andreas","Christensen",34,"01 Sep 15:00","Gameweek 4","Bournemouth","BOU",TRUE,3,987625,"2018-09-01T14:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,4,2,6
120,"Zappacosta","Davide","Zappacosta",34,"01 Sep 15:00","Gameweek 4","Bournemouth","BOU",TRUE,3,987625,"2018-09-01T14:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,4,2,6
121,"Emerson","Emerson","Palmieri dos Santos",34,"01 Sep 15:00","Gameweek 4","Bournemouth","BOU",TRUE,3,987625,"2018-09-01T14:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,4,2,6
122,"Hazard","Eden","Hazard",34,"01 Sep 15:00","Gameweek 4","Bournemouth","BOU",TRUE,3,987625,"2018-09-01T14:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,4,2,6
123,"Fàbregas","Cesc","Fàbregas",34,"01 Sep 15:00","Gameweek 4","Bournemouth","BOU",TRUE,3,987625,"2018-09-01T14:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,4,2,6
124,"Willian","Willian","Borges Da Silva",34,"01 Sep 15:00","Gameweek 4","Bournemouth","BOU",TRUE,3,987625,"2018-09-01T14:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,4,2,6
125,"Pedro","Pedro","Rodríguez Ledesma",34,"01 Sep 15:00","Gameweek 4","Bournemouth","BOU",TRUE,3,987625,"2018-09-01T14:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,4,2,6
126,"Kanté","N'Golo","Kanté",34,"01 Sep 15:00","Gameweek 4","Bournemouth","BOU",TRUE,3,987625,"2018-09-01T14:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,4,2,6
127,"Barkley","Ross","Barkley",34,"01 Sep 15:00","Gameweek 4","Bournemouth","BOU",TRUE,3,987625,"2018-09-01T14:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,4,2,6
128,"Drinkwater","Daniel","Drinkwater",34,"01 Sep 15:00","Gameweek 4","Bournemouth","BOU",TRUE,3,987625,"2018-09-01T14:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,4,2,6
129,"Bakayoko","Tiemoué","Bakayoko",34,"01 Sep 15:00","Gameweek 4","Bournemouth","BOU",TRUE,3,987625,"2018-09-01T14:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,4,2,6
130,"Ampadu","Ethan","Ampadu",34,"01 Sep 15:00","Gameweek 4","Bournemouth","BOU",TRUE,3,987625,"2018-09-01T14:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,4,2,6
131,"Hudson-Odoi","Callum","Hudson-Odoi",34,"01 Sep 15:00","Gameweek 4","Bournemouth","BOU",TRUE,3,987625,"2018-09-01T14:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,4,2,6
132,"Loftus-Cheek","Ruben","Loftus-Cheek",34,"01 Sep 15:00","Gameweek 4","Bournemouth","BOU",TRUE,3,987625,"2018-09-01T14:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,4,2,6
133,"Giroud","Olivier","Giroud",34,"01 Sep 15:00","Gameweek 4","Bournemouth","BOU",TRUE,3,987625,"2018-09-01T14:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,4,2,6
134,"Morata","Álvaro","Morata",34,"01 Sep 15:00","Gameweek 4","Bournemouth","BOU",TRUE,3,987625,"2018-09-01T14:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,4,2,6
